ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
Belarus,2020-03-28T00:00:00.000Z,94,0,46454,28.04696448,53.54021951,Belarus,白俄罗斯,Bélarus,Belarús,Беларусь,بيلاروس
Kosovo[1],2020-03-28T00:00:00.000Z,91,1,46455,20.81133086,44.03387222,Kosovo[1],科索沃[1],,,,
Georgia,2020-03-28T00:00:00.000Z,90,0,46456,43.51757115,42.17632583,Georgia,格鲁吉亚,Géorgie,Georgia,Грузия,جورجيا
Kyrgyzstan,2020-03-28T00:00:00.000Z,84,0,46457,74.555493,41.46490717,Kyrgyzstan,吉尔吉斯斯坦,Kirghizistan,Kirguistán,Кыргызстан,قيرغيزستان
Montenegro,2020-03-28T00:00:00.000Z,82,1,46458,19.26458919,42.79659203,Montenegro,黑山,Monténégro,Montenegro,Черногория,الجبل الأسود
Jersey,2020-03-28T00:00:00.000Z,61,1,46459,-2.12891773,49.21949816,Jersey,"泽西岛
",,,,
Liechtenstein,2020-03-28T00:00:00.000Z,61,0,46460,9.55526493,47.15259548,Liechtenstein,"列支敦士登
",,,,
Gibraltar,2020-03-28T00:00:00.000Z,56,0,46461,-5.34488893,36.1381932,Gibraltar,"直布罗陀
",,,,
Guernsey,2020-03-28T00:00:00.000Z,39,0,46462,-2.57582282,49.4590463,Guernsey,"根西岛
",,,,
Isle of Man,2020-03-28T00:00:00.000Z,32,0,46463,-4.52652992,54.2288333,Isle of Man,"马恩岛
",,,,
Monaco,2020-03-28T00:00:00.000Z,19,0,46464,7.41201715,43.75034615,Monaco,摩纳哥,Monaco,Mónaco,Монако,موناكو
Greenland,2020-03-28T00:00:00.000Z,10,0,46465,-41.39096667,74.71895353,Greenland,"格陵兰岛
",,,,
Holy See,2020-03-28T00:00:00.000Z,4,0,46466,12.48571114,41.89324195,Holy See,"梵蒂冈
",,,,
Thailand,2020-03-28T00:00:00.000Z,1388,7,46467,101.0149078,15.11989876,Thailand,泰国,Thaïlande,Tailandia,Таиланд,تايلند
Indonesia,2020-03-28T00:00:00.000Z,1285,114,46468,117.3110169,-2.22903453,Indonesia,印度尼西亚,Indonésie,Indonesia,Индонезия,إندونيسيا
India,2020-03-28T00:00:00.000Z,979,25,46469,79.6188183,22.88132057,India,印度,Inde,India,Индия,الهند
Sri Lanka,2020-03-28T00:00:00.000Z,115,1,46470,80.70426262,7.61236243,Sri Lanka,斯里兰卡,Sri Lanka,Sri Lanka,Шри-Ланка,سري لانكا
Bangladesh,2020-03-28T00:00:00.000Z,48,5,46471,90.27092576,23.8330072,Bangladesh,孟加拉国,Bangladesh,Bangladesh,Бангладеш,بنغلاديش
Maldives,2020-03-28T00:00:00.000Z,16,0,46472,73.25178478,3.37481932,Maldives,马尔代夫,Maldives,Maldivas,Мальдивские Острова,ملديف
Myanmar,2020-03-28T00:00:00.000Z,8,0,46473,96.50868206,21.14009536,Myanmar,缅甸,Myanmar,Myanmar,Мьянма,ميانمار
