ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
Namibia,2020-03-28T00:00:00.000Z,11,0,46571,17.21845028,-22.13329329,Namibia,纳米比亚,Namibie,Namibia,Намибия,ناميبيا
Niger,2020-03-28T00:00:00.000Z,10,1,46572,9.39765754,17.42632282,Niger,尼日尔,Niger,Níger,Нигер,النيجر
Eswatini,2020-03-28T00:00:00.000Z,9,0,46573,31.4971888,-26.56211674,Eswatini,斯威士兰,Eswatini,Eswatini,Эсватини,إسواتيني
Guinea,2020-03-28T00:00:00.000Z,8,0,46574,-10.94182542,10.43854094,Guinea,几内亚,Guinée,Guinea,Гвинея,غينيا
Mozambique,2020-03-28T00:00:00.000Z,8,0,46575,35.55226053,-17.26019392,Mozambique,莫桑比克,Mozambique,Mozambique,Мозамбик,موزامبيق
Seychelles,2020-03-28T00:00:00.000Z,8,0,46576,52.23005901,-6.39906405,Seychelles,塞舌尔,Seychelles,Seychelles,Сейшельские Острова,سيشيل
Gabon,2020-03-28T00:00:00.000Z,7,1,46577,11.79715762,-0.59067797,Gabon,加蓬,Gabon,Gabón,Габон,غابون
Benin,2020-03-28T00:00:00.000Z,6,0,46578,2.34326271,9.64764997,Benin,贝宁,Bénin,Benin,Бенин,بنن
Central African Republic,2020-03-28T00:00:00.000Z,6,0,46579,20.48278081,6.57145342,Central African Republic,中非共和国,République centrafricaine,República Centroafricana,Центральноафриканская Республика,جمهورية أفريقيا الوسطى
Equatorial Guinea,2020-03-28T00:00:00.000Z,6,0,46580,10.33849628,1.7101686,Equatorial Guinea,赤道几内亚,Guinée équatoriale,Guinea Ecuatorial,Экваториальная Гвинея,غينيا الاستوائية
Eritrea,2020-03-28T00:00:00.000Z,6,0,46581,38.85292555,15.35884102,Eritrea,厄立特里亚,Érythrée,Eritrea,Эритрея,إريتريا
Cabo Verde,2020-03-28T00:00:00.000Z,5,1,46582,-23.545,14.928,Cabo Verde,佛得角,Cabo Verde,Cabo Verde,Кабо-Верде,كابو فيردي
Chad,2020-03-28T00:00:00.000Z,5,0,46583,18.66460339,15.3611457,Chad,乍得,Tchad,Chad (el),Чад,تشاد
Mauritania,2020-03-28T00:00:00.000Z,5,0,46584,-10.33226041,20.25990361,Mauritania,毛里塔尼亚,Mauritanie,Mauritania,Мавритания,موريتانيا
Zimbabwe,2020-03-28T00:00:00.000Z,5,1,46585,29.87175983,-19.00000577,Zimbabwe,津巴布韦,Zimbabwe,Zimbabwe,Зимбабве,زمبابوي
Gambia,2020-03-28T00:00:00.000Z,3,1,46586,-15.3856196,13.4529444,Gambia,冈比亚,Gambie,Gambia,Гамбия,غامبيا
Liberia,2020-03-28T00:00:00.000Z,3,0,46587,-9.30784656,6.44811846,Liberia,利比里亚,Libéria,Liberia,Либерия,ليبريا
Angola,2020-03-28T00:00:00.000Z,2,0,46588,17.54379621,-12.29575318,Angola,安哥拉,Angola,Angola,Ангола,أنغولا
Guinea-Bissau,2020-03-28T00:00:00.000Z,2,0,46589,-14.98748401,12.0161983,Guinea-Bissau,几内亚比绍,Guinée-Bissau,Guinea-Bissau,Гвинея-Бисау,غينيا - بيساو
International conveyance (Diamond Princess),2020-03-28T00:00:00.000Z,712,7,46590,,,International conveyance (Diamond Princess),国际交通工具（“钻石公主号”邮轮）),,,,
